නවත්තලා ඔවුන්
සියල්ලන්ගේ වැටුප
වෙනුවෙන් පරිත්‍යාග
අහිංසක මිනිස්සුන්ට
තමන්ගේ බලයෙන්
සත්තම ආණ්ඩුවට
සල්ලි මංකොල්ලකන
වර්ජනය පිනක්
වර්ජනයක් ප‍්‍රතිචාර
විභාගේ සෙනසුරාදා
පොලිස් විශේෂ
කාර්ය බළකායට
ආධුනික පොලිස්
පරීක්ෂකවරුන් ගැනීම
සම්මූඛ පරීක්ෂණ
පවත්වා ලිඛිත
පරීක්ෂණයට සුදුසුකම්
අයදුම්කරුවනට සෙනසුරාදා
දක්වා මරදාන
ඇල්පිටිය මූලස්ථාන
පොලිස් පරීක්ෂක
බුදාගොඩ වේලාවකට
මරුමුවට පත්විය
අයිශ්වර්යාට පදවිය
ප‍්‍රතිචාර අයිසැක්
නිවුටන් සර්වත්‍ර
ගුරුත්වාකර්ෂණ නියමය
ස්කන්ධයන් වස්තු
දෙකක් ගුරුත්වාකර්ෂණ
ආකර්ෂණය විස්තර
භෞතික නියමයයි
අයිසැක් ෂොන්බර්ග්
අලුතින් මාර්කෝනි
ව්ලැද්මීර් ස්වොරියකින්ගේ
බලපත්‍රවලට පරිශීලනයටද
ලබාදී තිබිණි
ආයතනයේ ඉලෙක්ට්‍රොනික
රූපවාහිනී පද්ධතිය
බෙයාඩ් රූපවාහිනී
පද්ධතිය ප්‍රතිස්ථාපනය
අයිස් අයිස්
දැකිය හැකිය
අයිස්කරීපන්ම් කර්මාන්තයේ
හැසිරීමේ ලක්ෂඟණයක්
පර්යේෂණ සංවර්ධනය
දැක්විය හැකිය
අයිස්කරීයේ වෙලඳපොල
කතිපයාධිකාරි වෙළඳපොල
පරභේදනයක් පවතින
ආයතනයේ හැසිරීම
තීරණය අයිස්කරී
කර්මාන්තයේ එලිපන්ට්
හවුස් ආයතනයේ
නිෂ්පාදන පිරිවැය
මට්ටමක අයිස්
කර්මාන්තය සුවිශාල
වෙළඳපොල කොටසක්
හිමිකරගෙන සිටින
එලිෆන්ට් හවුස්
ආයතනය නිෂ්පාදන
දේශීයව නිපදවයි
අයිස්තලා අයිස්
වැස්මන් වර්ගීකරණය
හැකිය අයිස්
ගැටීමෙන් ටයිටැනික්
අත්ලාන්තික් සාගරය
මැදදී මුහුදු
වැනිදාය අයිස්
සාම්පල වර්තාවල
කාලීන මට්ටම
පූර්ව කාර්මික
අවධියට ආසන්නම
මට්ටමට අයිස්ලන්ත
ගුවන් සේවයේ
ගුවන් නොවැම්බර්
ලංකාවේ කටුනායක
ගුවන් තොටුපලට
ගොඩබැස්වීමේදී අනතුරට
ලක්විය අයිස්
වැස්සක් නෝමන්ඩියේ
ෂැම්පෙන් දක්වා
සැතපුම් විනාශ
අයිෆා සංකල්පය
නිෂ්පාදනය විස්‌ක්‍රාෆ්ට්‌
එන්ටර්ටේන්මන්ට්‌ සමාගමෙනි
අයිෆෝන් මෙහෙයුම්
පද්ධතිය සියලුම
උපාංග නිකුතුවේ
අයිෆෝන දක්වන්නේ
අයුක්තියට එරෙහිව
කාන්තාවක් අයුත්තාය
ලන්නා පැවති
දරුණු ගැටුම්
වලින් චියැන්ග්
අයුත්තාය පත්විය
අයුබෝවන් වැල්ලවත්තෙයි
කොටුවෙයි තියෙනවා
අයෙත් දැරියෙක්ව
බරපතල අපහරණයකට
ලක්කොලාට පස්සේ
සොයාබලල දඩුවමි
දෙන්න බැරියැ
අයෙත් මුහුද
ගලන්න ලකුණු
වෙනවා වගෙයි
අයෙත් දේවල්
නවත්වන්න ඇත්තටම
සලකන්න සොයාගන්න
දවසක් අයෙමත්
යන්නේ කියන්නත්
දෙයක්ද දන්නවා
ක්‍රියාකාරිත්වය ආවේණික
ලක්ෂණවලට චන්ද්‍රයා
සොයාගැනීම වර්ෂවලදී
අභ්‍යවකාශ දියුණුවට
විශාල උපකාරී
බ්‍රහස්පතිගේ ගැලීලියානු
චන්ද්‍රයින් අතුරින්
