ተለዋዋጭ የግድግዳ
አንቀሳቅሷል አንቀሳቅሷል
የዳንኤል እይታዎች
መምህራን እንደተመረቅኩ
የመምህርነት የጀመርኩት
በምትባል ከምትገኛና
በምትርቅ ትምህርት
ከመርሐቤቴ የሚኖረው
የሚገናኙባት የቀለጠች
በተለይም በፍራፍሬ
ትታወቃለች የእነዋሪን
ይቀልድባት ከእነዋሪ
እየተነሣሁ ለሠርግም
ለንግሥም ገበሬዎቹ
አውጥተው በትከሻቸው
ጠበንዣቸውን አድርገው
ተሸክመው የጋቢያቸውን
ጠቅልለው አናታቸው
በማስቀመጥ በቅሎዋን
የሚንቆረቆረውን ወጋቸውን
ይወርዱታል ተረታቸው
ቀረርቷቸው ፉከራቸው
ዘፈናቸው ትረካቸው
ጀግኖቻቸው የሚገጥሙት
ይሰማኛል አብረውን
ስለሚባል በሞረቶች
ያላሰበበትን ያልተዘጋጀበትንና
የሆነውን ሽፍትነት
ተነሣስቶ የጀብደኛነትን
ከመሥራት የነበሩት
እንዲያውም በርሳቸው
የሚፎካከሩም የሚፈታተኑም
ኃይለኞች ስለነበሩ
ግጥሞቻቸው ተሻግረው
ደርሰውናል ማስገበር
ስለፈለጉ ለአዝማሪ
መለሱላቸው አስገባሪ
አስጨንቆ ገበሬዎችን
አቅልጠው ቀጥቅጠው
ከተገዥዎቹ ገበሬዎች
የነበረው በልጅነቱ
በረሃዎችና ገዥዎችን
ስላስጨነቁ መሸፈቱን
የአጎቱን አንዳንዱ
ዘፈነለት አንዳንዱ
ተጠራጠረ አንገቱን
ነቀነቀበት የሸፈተው
እገለዋለሁ መጀመሪያ
በየሠርግ በየድግስ
መቋጠሪያ እየታየው
ጥያቄዎች ጭንቅላቱን
ያስጨንቁት የሸፈትከውኮ
በጀግናው ታጥቀሃል
ቢመጡብህ የምትሸሽበት
የማምለጫ መርጠሃል
መንደርህ የማታውቅ
ለመዋጋት የታጠቅከውን
ተኩሰህበት ታውቃለህ
ይጠግንልሃል ታውቃለህ
ታውቃለህ ጥያቄዎች
ጭንቅላቱን ሲወጥሩት
አልነበረውም ሲያልፍበትና
ሲወጣበት ማንሥሩን
አያውቅም እንዲያውም
ሲያስበው ሳይኖርበት
አይቀርም አያውቅም
ሸፍቷልና የሚያወያየው
ሲበዛበት ይጨንቀው
ሽፍትነት ሲያስቡትና
ሲሸፍቱት አልሆነለትም
እንደሚያደርግ ጨንቆታል
ከሚዘፍኑለት ቢያቀብሉት
የሚሻለው ያልቅበት
ብቸኛነትን አልለመደውም
አንዳንዴም ሲያስበው
እንዳልነበረበት ይሞግታል
እንደሚችል ሊመጣለት
አልቻለም እንዳይመለስ
አንዳንዴ የተወለደበትን
የሸፈተበትን ይረግማል
አንዳንዴ አንጋቾች
አካባቢው አልቻሉም
መሸፈቱንን ሊያደርግ
እንደሸፈተ ለኅሊናው
ማስረዳት አልቻለም
